uid,questions,concepts,responses,selectmasks,timestamps,elapsed_time
0,56,7,0,1,1704720325,45
0,57,7,0,1,1704720413,65
0,6,0,1,1,1704720453,29
0,15,1,1,1,1704720501,21
0,53,6,1,1,1704721080,49
0,54,6,1,1,1704721500,28
0,53,6,1,1,1704721574,51
0,77,9,1,1,1704721657,58
0,77,9,0,1,1704721748,82
0,18,2,1,1,1704722330,17
0,63,7,0,1,1704722395,41
0,39,4,1,1,1704722437,36
0,32,4,1,1,1704722484,40
0,40,5,0,1,1704722560,61
0,1,0,0,1,1704722581,14
0,63,7,1,1,1704723075,38
0,56,7,1,1,1704723104,21
0,66,8,1,1,1704723169,49
0,57,7,0,1,1704723248,70
0,37,4,0,1,1704723315,52
0,9,1,1,1,1704723377,40
0,74,9,1,1,1704723444,40
0,27,3,1,1,1704723498,24
0,31,3,0,1,1704724055,46
0,70,8,0,1,1704724116,52
0,73,9,1,1,1704724151,28
0,46,5,0,1,1704724225,58
0,43,5,1,1,1704724421,35
0,12,1,1,1,1704724467,17
0,72,9,0,1,1704724582,87
0,28,3,1,1,1704724645,39
0,72,9,0,1,1704724718,59
0,22,2,1,1,1704724775,41
0,64,8,0,1,1704724863,72
0,3,0,1,1,1704724900,9
0,42,5,0,1,1704724955,35
0,63,7,0,1,1704725023,62
0,79,9,1,1,1704725095,56
0,70,8,0,1,1704725157,45
0,44,5,1,1,1704725196,15
0,5,0,1,1,1704725234,20
0,5,0,1,1,1704725284,20
0,34,4,1,1,1704725344,30
0,21,2,1,1,1704725403,50
0,58,7,1,1,1704725612,33
0,46,5,1,1,1704757364,28
0,31,3,1,1,1704757917,38
0,77,9,0,1,1704758332,48
0,74,9,1,1,1704758566,32
0,5,0,1,1,1704758606,33
0,63,7,0,1,1704758670,57
0,37,4,1,1,1704758740,47
0,72,9,1,1,1704758785,35
0,76,9,0,1,1704758870,63
0,49,6,0,1,1704759158,53
0,48,6,1,1,1704759524,35
0,24,3,1,1,1704760113,35
0,52,6,1,1,1704760169,38
0,45,5,0,1,1704760678,41
0,41,5,1,1,1704760730,40
0,78,9,1,1,1704761169,59
0,39,4,1,1,1704824732,33
0,13,1,1,1,1704824784,27
0,70,8,1,1,1704824844,43
0,43,5,1,1,1704824902,39
0,9,1,1,1,1704824952,34
0,24,3,1,1,1704825009,37
0,66,8,1,1,1704825082,49
0,71,8,0,1,1704843106,58
0,40,5,1,1,1704843167,32
0,14,1,1,1,1704843235,41
0,18,2,1,1,1704843813,36
0,37,4,1,1,1704843857,34
0,28,3,1,1,1704876960,30
0,76,9,1,1,1704954055,31
0,60,7,1,1,1704954128,56
0,17,2,1,1,1704954446,39
0,20,2,1,1,1704954501,43
0,17,2,1,1,1704958818,38
0,74,9,0,1,1704958916,78
0,49,6,0,1,1704959202,47
0,8,1,1,1,1704959256,26
0,41,5,1,1,1704959878,26
0,15,1,1,1,1704960453,46
0,5,0,1,1,1704960478,15
0,1,0,1,1,1704960516,26
0,36,4,1,1,1704960554,33
0,1,0,1,1,1704960603,22
0,77,9,1,1,1704960649,37
0,55,6,0,1,1704961000,38
0,7,0,1,1,1705036401,20
0,18,2,1,1,1705036476,49
0,71,8,1,1,1705036529,34
0,56,7,1,1,1705036598,46
0,48,6,0,1,1705036659,55
0,14,1,1,1,1705036720,44
0,50,6,1,1,1705036769,27
0,72,9,1,1,1705036815,18
0,23,2,1,1,1705037022,32
0,32,4,1,1,1705037168,37
0,27,3,1,1,1705037200,23
0,69,8,0,1,1705059626,49
0,46,5,0,1,1705059703,49
0,40,5,1,1,1705059765,32
0,28,3,1,1,1705060178,46
0,70,8,1,1,1705060224,34
0,7,0,1,1,1705060253,18
0,48,6,1,1,1705060314,33
0,68,8,0,1,1705126744,57
0,51,6,1,1,1705126796,38
0,28,3,1,1,1705172419,50
0,30,3,1,1,1705248582,40
0,46,5,1,1,1705248642,37
0,77,9,0,1,1705248748,81
0,58,7,1,1,1705248814,44
0,64,8,0,1,1705248881,55
0,37,4,0,1,1705248957,56
0,40,5,1,1,1705249072,38
0,50,6,1,1,1705249709,38
0,22,2,1,1,1705249761,40
0,56,7,1,1,1705249807,40
0,61,7,1,1,1705249859,31
0,71,8,1,1,1705277034,67
0,19,2,1,1,1705277067,16
0,14,1,1,1,1705277113,18
0,72,9,1,1,1705277187,50
0,23,2,1,1,1705277231,26
0,4,0,1,1,1705277693,13
0,25,3,1,1,1705277764,42
0,15,1,1,1,1705277794,23
0,45,5,1,1,1705354764,31
0,74,9,1,1,1705354815,38
0,38,4,1,1,1705354880,53
0,34,4,1,1,1705354958,54
0,34,4,1,1,1705381885,44
0,76,9,0,1,1705381970,55
0,70,8,1,1,1705382046,54
0,59,7,1,1,1705382116,40
0,28,3,1,1,1705382144,21
0,38,4,1,1,1705382322,31
0,53,6,1,1,1705429437,52
0,32,4,1,1,1705429496,37
0,34,4,1,1,1705429676,33
2,2,0,0,1,1706484107,132
2,35,4,1,1,1706484237,109
2,53,6,1,1,1706484691,135
2,37,4,1,1,1706485265,91
2,37,4,0,1,1706485839,162
2,65,8,0,1,1706486047,198
2,56,7,1,1,1706551605,136
2,33,4,0,1,1706551826,193
2,40,5,1,1,1706552009,113
2,76,9,0,1,1706552277,241
2,3,0,1,1,1706552342,52
2,27,3,1,1,1706629313,87
2,28,3,1,1,1706629468,138
2,41,5,1,1,1706629889,98
2,47,5,1,1,1706630021,103
2,64,8,1,1,1706630448,142
2,29,3,0,1,1706630617,157
2,61,7,1,1,1706630773,140
2,75,9,0,1,1706630986,200
2,21,2,0,1,1706631169,157
2,64,8,1,1,1706631325,133
2,60,7,1,1,1706697769,150
2,5,0,1,1,1706697876,99
2,3,0,1,1,1706697967,78
2,21,2,1,1,1706698518,110
2,18,2,0,1,1706698672,146
2,67,8,1,1,1706698838,136
2,13,1,1,1,1706698933,72
2,11,1,1,1,1706699031,79
2,44,5,1,1,1706699165,108
2,50,6,1,1,1706699838,114
2,28,3,0,1,1706700037,174
2,41,5,1,1,1706700165,103
2,31,3,0,1,1706700326,140
2,66,8,0,1,1706700522,169
2,9,1,1,1,1706701058,70
2,4,0,0,1,1706701209,134
2,18,2,1,1,1706701753,119
2,36,4,0,1,1706701950,175
2,54,6,1,1,1706702087,121
2,4,0,1,1,1706702189,97
2,32,4,0,1,1706702410,152
2,48,6,0,1,1706702611,183
2,62,7,1,1,1706703036,120
2,76,9,0,1,1706703294,240
2,23,2,1,1,1706703384,79
2,72,9,1,1,1706703564,153
2,15,1,1,1,1706703685,101
2,1,0,1,1,1706703762,48
2,12,1,1,1,1706704134,58
2,32,4,1,1,1706704284,124
2,77,9,0,1,1706704522,216
2,51,6,1,1,1706704642,112
2,12,1,1,1,1706704718,70
2,59,7,1,1,1706704872,125
2,9,1,0,1,1706705405,118
2,6,0,0,1,1706705574,149
2,59,7,1,1,1706787760,116
2,41,5,0,1,1706787928,146
2,54,6,1,1,1706788335,103
2,54,6,0,1,1706788543,199
2,25,3,0,1,1706788696,144
2,33,4,1,1,1706789419,125
2,21,2,1,1,1706789547,117
2,53,6,1,1,1706789687,124
2,1,0,1,1,1706789911,65
2,43,5,1,1,1706790516,120
2,47,5,1,1,1706790642,96
2,26,3,0,1,1706790787,130
2,53,6,1,1,1706841698,124
2,38,4,1,1,1706863122,119
2,28,3,1,1,1706863263,112
2,50,6,1,1,1706863397,121
2,20,2,0,1,1706863699,163
2,9,1,1,1,1706864219,70
2,77,9,1,1,1706946913,150
2,54,6,1,1,1706947063,127
2,16,2,0,1,1706947192,100
2,30,3,1,1,1706947338,118
2,6,0,1,1,1706947451,91
2,51,6,1,1,1706947594,117
2,37,4,1,1,1706973497,119
2,55,6,0,1,1706973685,176
2,57,7,0,1,1706973894,200
2,68,8,1,1,1706974041,125
2,63,7,0,1,1706974241,174
2,56,7,1,1,1706974386,118
2,73,9,0,1,1706974613,201
2,70,8,0,1,1706975188,192
2,42,5,1,1,1706975344,129
2,45,5,1,1,1706975476,106
2,20,2,0,1,1706975626,145
2,74,9,0,1,1706975867,217
2,12,1,1,1,1706975948,70
2,66,8,1,1,1706976093,136
2,42,5,0,1,1706976509,168
2,8,1,1,1,1706976946,67
2,68,8,1,1,1706977081,130
2,19,2,1,1,1706977192,82
2,53,6,1,1,1706977344,142
2,56,7,1,1,1706977473,103
2,79,9,1,1,1706977612,120
2,6,0,0,1,1706977770,135
2,32,4,1,1,1706977901,103
2,56,7,0,1,1706978112,182
2,16,2,1,1,1706978700,66
2,10,1,1,1,1706978805,86
2,26,3,1,1,1706978907,83
2,26,3,1,1,1706979215,95
2,8,1,1,1,1706979325,91
2,75,9,1,1,1706980028,133
2,55,6,1,1,1706980182,136
2,4,0,1,1,1706980270,82
2,26,3,1,1,1706980361,77
2,34,4,1,1,1706980712,110
2,24,3,1,1,1706980961,120
2,7,0,1,1,1706981064,82
2,16,2,1,1,1707064030,97
2,76,9,1,1,1707064211,158
2,47,5,1,1,1707064344,106
2,1,0,1,1,1707064424,62
2,43,5,1,1,1707064561,107
2,40,5,1,1,1707064709,125
2,71,8,1,1,1707064864,135
2,69,8,0,1,1707065059,189
2,56,7,1,1,1707077466,129
2,16,2,1,1,1707077571,95
2,68,8,1,1,1707077835,116
2,28,3,1,1,1707108045,121
2,32,4,1,1,1707108148,88
2,25,3,1,1,1707108232,75
2,57,7,1,1,1707108389,133
2,4,0,1,1,1707108494,94
2,21,2,1,1,1707108591,87
2,49,6,1,1,1707108723,123
2,5,0,1,1,1707108837,88
2,14,1,1,1,1707108970,106
2,27,3,1,1,1707109073,74
2,71,8,1,1,1707109251,149
2,20,2,1,1,1707109377,100
2,7,0,1,1,1707109469,78
2,46,5,1,1,1707109578,84
2,38,4,1,1,1707109724,126
2,70,8,1,1,1707109857,111
2,15,1,1,1,1707109965,100
2,33,4,0,1,1707110151,171
2,64,8,1,1,1707110292,127
2,21,2,1,1,1707110429,119
2,62,7,1,1,1707110653,110
2,69,8,1,1,1707110799,128
2,38,4,1,1,1707110929,121
2,78,9,1,1,1707111095,157
2,15,1,1,1,1707111648,68
2,62,7,1,1,1707111786,119
2,32,4,1,1,1707169334,99
2,48,6,1,1,1707169463,121
2,68,8,0,1,1707169658,188
2,57,7,1,1,1707169803,121
2,7,0,1,1,1707169891,70
2,4,0,1,1,1707169989,78
2,72,9,1,1,1707170171,152
2,28,3,1,1,1707170307,113
2,11,1,0,1,1707170459,137
2,79,9,1,1,1707170603,118
2,61,7,0,1,1707170805,196
2,27,3,1,1,1707170913,99
2,70,8,1,1,1707171017,98
2,78,9,1,1,1707171150,120
2,47,5,1,1,1707171262,89
2,58,7,1,1,1707171384,115
2,15,1,1,1,1707171494,104
2,75,9,1,1,1707171631,129
2,50,6,1,1,1707234769,105
2,22,2,1,1,1707234858,76
2,6,0,0,1,1707235019,148
2,75,9,1,1,1707235157,129
2,15,1,1,1,1707235266,86
2,40,5,1,1,1707235406,113
2,47,5,1,1,1707235543,107
2,31,3,0,1,1707235730,172
2,73,9,1,1,1707235894,145
2,6,0,1,1,1707235991,89
2,43,5,1,1,1707236125,111
2,60,7,0,1,1707236340,210
2,56,7,1,1,1707236479,118
2,41,5,1,1,1707236685,100
2,10,1,1,1,1707236758,65
2,41,5,1,1,1707236872,107
2,70,8,1,1,1707237407,146
2,45,5,1,1,1707237525,108
2,16,2,1,1,1707237846,100
2,0,0,1,1,1707237952,92
2,20,2,0,1,1707238132,156
2,33,4,1,1,1707238247,110
2,41,5,0,1,1707238666,135
2,52,6,1,1,1707238799,113
2,72,9,1,1,1707238956,142
2,2,0,1,1,1707239042,79
2,27,3,1,1,1707239117,67
2,59,7,1,1,1707239263,126
3,38,4,1,1,1706623420,55
3,0,0,1,1,1706623477,39
3,18,2,0,1,1706623535,48
3,43,5,1,1,1706623594,31
3,35,4,1,1,1706681986,34
3,7,0,1,1,1706682019,16
3,16,2,1,1,1706682059,24
3,7,0,1,1,1706682104,22
3,14,1,1,1,1706682187,56
3,69,8,0,1,1706682285,71
3,24,3,0,1,1706682357,66
3,53,6,0,1,1706704187,89
3,17,2,0,1,1706704259,45
3,78,9,0,1,1706704912,80
3,36,4,0,1,1706705111,72
3,33,4,0,1,1706705194,76
3,63,7,0,1,1706763473,83
3,42,5,0,1,1706763541,63
3,67,8,1,1,1706763599,35
3,55,6,0,1,1706763689,76
3,28,3,1,1,1706848415,41
3,60,7,0,1,1706848530,89
3,5,0,1,1,1706893702,30
3,15,1,1,1,1706894210,34
3,77,9,0,1,1706894333,102
3,18,2,0,1,1706960761,47
3,9,1,0,1,1706960834,54
3,51,6,0,1,1706960908,61
3,65,8,0,1,1706971935,81
3,26,3,1,1,1706971964,24
3,73,9,0,1,1706972080,98
3,62,7,0,1,1706972169,65
3,37,4,0,1,1706972252,76
3,18,2,0,1,1706972573,57
3,31,3,0,1,1706973207,69
3,16,2,1,1,1706973273,41
3,70,8,0,1,1706973369,91
3,77,9,0,1,1706973468,74
3,56,7,1,1,1706973523,40
3,5,0,1,1,1706973583,46
3,3,0,1,1,1706973635,23
3,28,3,1,1,1706973716,59
3,45,5,0,1,1706973778,52
3,19,2,1,1,1706973818,19
3,2,0,1,1,1706974045,25
3,53,6,0,1,1706974418,86
3,11,1,0,1,1706974496,60
3,46,5,0,1,1706974578,61
3,17,2,1,1,1707055236,40
3,13,1,1,1,1707055281,32
3,43,5,0,1,1707055373,63
3,20,2,1,1,1707087080,56
3,71,8,0,1,1707137282,95
3,35,4,1,1,1707137353,52
3,60,7,0,1,1707137443,82
3,63,7,0,1,1707137783,87
3,69,8,1,1,1707137872,81
3,49,6,0,1,1707137956,76
3,19,2,1,1,1707138541,14
3,60,7,0,1,1707221264,65
3,76,9,1,1,1707221352,68
3,9,1,1,1,1707221368,11
3,28,3,1,1,1707222001,41
3,23,2,1,1,1707229776,34
3,65,8,0,1,1707229883,88
3,52,6,1,1,1707230381,40
3,47,5,0,1,1707230451,50
3,22,2,0,1,1707230513,47
3,13,1,1,1,1707230583,45
3,29,3,1,1,1707230638,43
3,60,7,0,1,1707230731,87
3,76,9,1,1,1707230806,60
3,47,5,1,1,1707230877,50
3,30,3,0,1,1707230963,79
3,30,3,0,1,1707231043,53
3,7,0,1,1,1707231089,32
3,43,5,1,1,1707231161,46
3,42,5,0,1,1707269938,59
3,46,5,1,1,1707269982,33
3,12,1,0,1,1707270025,36
3,26,3,1,1,1707270081,48
3,68,8,0,1,1707270183,77
3,12,1,1,1,1707270307,21
3,1,0,1,1,1707270360,35
3,66,8,1,1,1707350097,61
3,76,9,0,1,1707350566,89
3,59,7,1,1,1707350622,45
3,64,8,0,1,1707350721,84
3,74,9,0,1,1707350822,96
3,59,7,0,1,1707350930,81
3,23,2,1,1,1707366406,47
3,60,7,0,1,1707366893,103
3,25,3,1,1,1707367309,16
3,66,8,1,1,1707367370,37
3,58,7,1,1,1707367419,32
3,41,5,0,1,1707367512,68
3,61,7,1,1,1707367579,57
3,34,4,0,1,1707373963,67
3,75,9,1,1,1707374027,37
3,36,4,1,1,1707374274,67
3,39,4,1,1,1707374318,33
3,34,4,1,1,1707374375,43
3,56,7,1,1,1707374439,52
3,32,4,0,1,1707374784,68
3,60,7,1,1,1707424884,61
3,72,9,1,1,1707445875,59
3,42,5,0,1,1707445968,74
3,42,5,0,1,1707496901,70
3,20,2,1,1,1707496946,30
3,74,9,0,1,1707497041,76
3,8,1,1,1,1707497084,35
3,79,9,0,1,1707497170,77
3,66,8,0,1,1707577314,58
3,2,0,1,1,1707577372,32
3,49,6,0,1,1707577463,76
3,71,8,0,1,1707577561,93
3,77,9,0,1,1707577820,67
3,60,7,1,1,1707577902,58
3,14,1,1,1,1707577978,47
3,74,9,1,1,1707578072,64
3,53,6,0,1,1707578170,78
3,6,0,1,1,1707578213,25
3,75,9,0,1,1707578300,66
3,39,4,0,1,1707578406,92
3,41,5,1,1,1707578457,33
3,44,5,0,1,1707578531,69
3,14,1,1,1,1707578586,40
3,18,2,0,1,1707578665,66
3,1,0,1,1,1707578710,28
3,77,9,0,1,1707578796,56
3,1,0,1,1,1707578814,13
3,54,6,1,1,1707578853,32
3,25,3,1,1,1707579438,43
3,43,5,1,1,1707579513,60
3,54,6,1,1,1707579570,35
3,39,4,1,1,1707579640,47
3,70,8,1,1,1707579710,45
3,4,0,1,1,1707660360,25
3,31,3,1,1,1707660837,49
3,67,8,0,1,1707660931,85
3,38,4,1,1,1707660996,43
3,18,2,1,1,1707661085,59
3,49,6,0,1,1707661571,63
3,42,5,1,1,1707661707,25
3,73,9,1,1,1707661764,49
3,51,6,1,1,1707662382,40
3,5,0,0,1,1707662459,58
3,61,7,1,1,1707662543,57
3,14,1,1,1,1707663104,32
3,24,3,0,1,1707663200,75
3,26,3,1,1,1707663264,39
3,52,6,0,1,1707663354,76
3,18,2,1,1,1707663897,31
3,62,7,1,1,1707664328,29
3,50,6,1,1,1707664392,43
3,40,5,1,1,1707723452,50
3,0,0,1,1,1707723488,28
3,32,4,0,1,1707723583,72
3,50,6,1,1,1707723631,33
3,63,7,0,1,1707723724,86
3,11,1,1,1,1707724353,38
3,46,5,0,1,1707724440,59
3,15,1,0,1,1707724513,65
3,61,7,0,1,1707724595,74
3,2,0,1,1,1707725188,36
3,14,1,1,1,1707725242,43
3,41,5,1,1,1707725796,31
3,34,4,1,1,1707726344,29
3,30,3,1,1,1707726408,58
3,64,8,0,1,1707726506,76
3,72,9,0,1,1707726612,85
3,32,4,0,1,1707727197,71
3,54,6,0,1,1707727279,67
3,69,8,0,1,1707727377,76
3,17,2,1,1,1707727442,59
3,6,0,0,1,1707727515,60
3,19,2,1,1,1707727555,32
3,41,5,1,1,1707803818,40
3,51,6,1,1,1707803870,29
3,51,6,1,1,1707877963,38
3,79,9,0,1,1707878068,81
3,79,9,1,1,1707878403,58
3,18,2,1,1,1707878616,28
3,78,9,0,1,1707916561,88
3,52,6,1,1,1707922313,72
3,8,1,1,1,1707922830,34
3,54,6,0,1,1707922906,69
3,30,3,1,1,1707922970,35
3,79,9,1,1,1707923047,51
3,44,5,0,1,1707923115,52
3,51,6,1,1,1707923167,44
3,11,1,1,1,1707923214,24
3,58,7,1,1,1707923612,58
3,4,0,1,1,1707923647,17
3,76,9,1,1,1707923735,67
3,79,9,1,1,1707956968,60
3,33,4,1,1,1707957020,45
3,69,8,1,1,1707957077,42
3,17,2,1,1,1707957127,25
3,72,9,0,1,1707968955,102
4,6,0,1,1,1705920811,57
4,59,7,0,1,1705921347,83
4,65,8,0,1,1705921497,131
4,8,1,0,1,1705921575,67
4,39,4,1,1,1705921647,63
4,77,9,0,1,1705921783,127
4,16,2,1,1,1705922406,44
4,35,4,1,1,1705922469,56
4,55,6,0,1,1705922576,92
4,8,1,0,1,1705922673,70
4,21,2,1,1,1705922723,45
4,1,0,1,1,1705932122,45
4,20,2,0,1,1705932239,102
4,12,1,1,1,1705980229,38
4,27,3,1,1,1705980304,54
4,66,8,1,1,1705980378,58
4,48,6,0,1,1705980477,85
4,52,6,0,1,1705980826,75
4,57,7,0,1,1705980969,114
4,37,4,1,1,1705981036,47
4,48,6,1,1,1705981134,86
4,66,8,0,1,1705981237,94
4,24,3,0,1,1705981351,95
4,44,5,1,1,1706032075,57
4,17,2,1,1,1706032112,30
4,29,3,0,1,1706114983,100
4,76,9,0,1,1706115576,120
4,56,7,0,1,1706115678,93
4,63,7,0,1,1706116327,117
4,27,3,1,1,1706116403,57
4,10,1,1,1,1706116487,58
4,38,4,1,1,1706116618,48
4,74,9,0,1,1706116756,108
4,30,3,1,1,1706116838,63
4,50,6,1,1,1706129610,64
4,27,3,1,1,1706129678,62
4,30,3,1,1,1706129774,78
4,75,9,0,1,1706129912,111
4,75,9,1,1,1706129987,70
4,35,4,0,1,1706130089,83
4,7,0,0,1,1706130178,72
4,70,8,1,1,1706130271,70
4,2,0,1,1,1706130333,55
4,57,7,1,1,1706130432,70
4,16,2,1,1,1706130507,47
4,35,4,1,1,1706130575,59
4,3,0,1,1,1706130829,29
4,50,6,1,1,1706130909,73
4,27,3,1,1,1706130954,26
4,57,7,1,1,1706131138,75
4,77,9,1,1,1706131280,68
4,49,6,0,1,1706131418,112
4,45,5,0,1,1706131536,96
4,21,2,0,1,1706131624,83
4,4,0,1,1,1706132145,41
4,41,5,0,1,1706168829,62
4,46,5,0,1,1706214161,56
4,49,6,0,1,1706214281,103
4,56,7,0,1,1706214688,105
4,48,6,1,1,1706214779,74
4,63,7,1,1,1706214939,60
4,36,4,0,1,1706215041,87
4,75,9,1,1,1706215114,56
4,49,6,1,1,1706215197,58
4,11,1,0,1,1706215287,76
4,11,1,0,1,1706215382,84
4,78,9,1,1,1706215961,76
4,64,8,1,1,1706216242,65
4,23,2,1,1,1706216314,52
4,34,4,0,1,1706216424,82
4,38,4,1,1,1706216617,61
4,73,9,1,1,1706216713,78
4,37,4,0,1,1706216816,75
4,77,9,0,1,1706216938,97
4,74,9,0,1,1706217136,126
4,54,6,0,1,1706217263,106
4,28,3,0,1,1706217728,90
4,65,8,0,1,1706248909,119
4,28,3,1,1,1706248977,60
4,54,6,0,1,1706249095,107
4,3,0,1,1,1706286731,43
4,71,8,0,1,1706286846,105
4,9,1,1,1,1706286923,51
4,56,7,1,1,1706286979,45
4,44,5,1,1,1706287045,48
4,29,3,1,1,1706287197,34
4,56,7,0,1,1706287301,95
4,43,5,0,1,1706287416,95
4,5,0,1,1,1706287494,48
4,33,4,0,1,1706287631,117
4,10,1,1,1,1706287686,28
4,60,7,0,1,1706349864,83
4,35,4,0,1,1706349984,93
4,58,7,1,1,1706350054,57
4,73,9,0,1,1706350291,85
4,73,9,0,1,1706427636,96
4,27,3,1,1,1706508908,52
4,57,7,1,1,1706508993,68
4,46,5,1,1,1706509071,52
4,41,5,1,1,1706509140,60
4,36,4,0,1,1706509273,106
4,33,4,1,1,1706509382,84
4,72,9,0,1,1706519988,117
4,63,7,0,1,1706520094,96
4,31,3,1,1,1706520172,57
4,14,1,0,1,1706520282,80
4,10,1,0,1,1706520634,69
4,1,0,1,1,1706520661,9
4,74,9,1,1,1706520749,73
4,24,3,1,1,1706521053,68
4,73,9,0,1,1706521150,84
4,1,0,1,1,1706521192,37
4,2,0,0,1,1706521297,91
4,50,6,1,1,1706521389,70
4,41,5,1,1,1706521443,46
4,7,0,1,1,1706521487,33
4,64,8,1,1,1706580615,78
4,51,6,1,1,1706580726,81
4,45,5,1,1,1706580799,51
4,48,6,1,1,1706580882,72
4,44,5,1,1,1706580958,63
4,15,1,1,1,1706581037,52
4,44,5,1,1,1706581105,52
4,69,8,1,1,1706581194,65
4,38,4,1,1,1706581602,69
4,8,1,1,1,1706581672,62
4,71,8,0,1,1706581807,121
4,5,0,1,1,1706581879,44
4,18,2,1,1,1706582044,51
4,22,2,0,1,1706582140,66
4,75,9,0,1,1706582283,125
4,3,0,1,1,1706658555,38
4,56,7,1,1,1706658641,58
4,49,6,0,1,1706658807,99
4,59,7,0,1,1706658924,96
4,11,1,1,1,1706658996,56
4,9,1,1,1,1706659077,52
4,19,2,1,1,1706667362,42
4,71,8,0,1,1706667492,116
4,66,8,1,1,1706667568,65
4,9,1,1,1,1706667620,39
4,22,2,1,1,1706667679,40
4,56,7,1,1,1706667766,76
4,29,3,1,1,1706667838,52
4,42,5,0,1,1706667957,98
4,0,0,1,1,1706668036,53
4,16,2,1,1,1706668114,49
4,50,6,0,1,1706668250,109
4,49,6,1,1,1706668322,49
4,28,3,1,1,1706668644,58
4,28,3,1,1,1706668695,33
4,44,5,0,1,1706668808,86
4,0,0,1,1,1706709176,47
4,10,1,1,1,1706709238,54
4,66,8,1,1,1706709346,79
4,22,2,1,1,1706709420,50
4,67,8,1,1,1706709903,72
4,75,9,1,1,1706787017,69
4,71,8,1,1,1706859340,73
4,32,4,0,1,1706859447,93
4,75,9,0,1,1706859564,96
4,38,4,1,1,1706859642,68
4,71,8,1,1,1706859730,76
4,8,1,1,1,1706859970,44
4,3,0,1,1,1706942928,39
4,20,2,1,1,1706943092,46
4,59,7,1,1,1706996815,56
4,19,2,1,1,1706996874,36
4,54,6,1,1,1706997485,81
4,15,1,1,1,1706997757,46
4,43,5,1,1,1706998287,58
4,8,1,1,1,1706998332,40
4,2,0,1,1,1706998536,36
4,25,3,1,1,1706998617,62
4,16,2,1,1,1706998666,44
4,14,1,1,1,1706998751,67
4,30,3,0,1,1706998845,74
4,76,9,1,1,1706998942,90
4,37,4,1,1,1706999360,50
4,25,3,1,1,1706999561,63
4,74,9,0,1,1706999713,122
4,36,4,1,1,1706999811,69
4,38,4,1,1,1706999890,54
4,47,5,1,1,1706999965,52
4,59,7,1,1,1707000027,57
4,9,1,1,1,1707000099,43
4,70,8,1,1,1707000191,83
4,6,0,1,1,1707000801,62
4,5,0,1,1,1707000872,53
4,12,1,1,1,1707000940,43
4,0,0,1,1,1707001000,43
4,68,8,1,1,1707054143,56
4,11,1,1,1,1707054221,50
4,46,5,1,1,1707054294,48
4,13,1,1,1,1707054339,31
4,16,2,1,1,1707054401,37
4,72,9,1,1,1707054488,72
4,28,3,1,1,1707054969,57
4,14,1,1,1,1707055041,43
4,24,3,1,1,1707055263,67
5,58,7,0,1,1704658119,75
5,12,1,1,1,1704658194,48
5,49,6,0,1,1704658341,72
5,25,3,1,1,1704658397,42
5,25,3,1,1,1704658466,49
5,9,1,1,1,1704658967,31
5,74,9,0,1,1704659080,98
5,44,5,1,1,1704659127,22
5,42,5,1,1,1704659183,39
5,33,4,0,1,1704659292,90
5,14,1,1,1,1704659342,35
5,63,7,0,1,1704659456,94
5,6,0,0,1,1704659546,70
5,6,0,1,1,1704659609,56
5,71,8,0,1,1704659709,87
5,77,9,1,1,1704659784,57
5,62,7,0,1,1704660143,96
5,42,5,0,1,1704660266,95
5,34,4,0,1,1704660360,68
